1 15:19:21 Avg: 5,0  Max: 998,1  AvgCalls: 1  Players: 2  
2 15:19:51 Avg: 2,0  Max: 19,5  AvgCalls: 1  Players: 4  
3 15:20:21 Avg: 1,7  Max: 17,0  AvgCalls: 1  Players: 4  
4 15:20:51 Avg: 1,1  Max: 10,5  AvgCalls: 1  Players: 3  
5 15:21:21 Avg: 2,4  Max: 765,4  AvgCalls: 1  Players: 4  
6 15:21:51 Avg: 1,5  Max: 16,8  AvgCalls: 1  Players: 4  
7 15:22:21 Avg: 1,4  Max: 34,2  AvgCalls: 1  Players: 5  
8 15:22:51 Avg: 3,5  Max: 46,2  AvgCalls: 1  Players: 5  
9 15:23:21 Avg: 2,2  Max: 25,5  AvgCalls: 1  Players: 5  
10 15:23:51 Avg: 3,0  Max: 42,8  AvgCalls: 1  Players: 5  
11 15:24:21 Avg: 9,6  Max: 81,5  AvgCalls: 1  Players: 5  
12 15:24:51 Avg: 7,2  Max: 40,1  AvgCalls: 1  Players: 5  
13 15:25:21 Avg: 1,4  Max: 19,7  AvgCalls: 1  Players: 4  
14 15:25:51 Avg: 1,7  Max: 23,8  AvgCalls: 1  Players: 5  
15 15:26:21 Avg: 1,0  Max: 9,5  AvgCalls: 1  Players: 4  
16 15:26:51 Avg: 1,1  Max: 17,0  AvgCalls: 1  Players: 4  
17 15:27:21 Avg: 1,0  Max: 7,5  AvgCalls: 1  Players: 5  
18 15:27:51 Avg: 1,1  Max: 8,9  AvgCalls: 1  Players: 5  
19 15:28:21 Avg: 1,1  Max: 8,8  AvgCalls: 1  Players: 5  
20 15:28:51 Avg: 1,2  Max: 17,0  AvgCalls: 1  Players: 5  
21 15:29:21 Avg: 2,3  Max: 17,9  AvgCalls: 1  Players: 4  
22 15:29:51 Avg: 2,0  Max: 21,7  AvgCalls: 1  Players: 4  
23 15:30:21 Avg: 2,0  Max: 18,2  AvgCalls: 1  Players: 4  
24 15:30:51 Avg: 1,8  Max: 18,5  AvgCalls: 1  Players: 4  
25 15:31:21 Avg: 1,4  Max: 8,8  AvgCalls: 1  Players: 4  
26 15:31:51 Avg: 0,9  Max: 8,2  AvgCalls: 1  Players: 4  
27 15:32:21 Avg: 0,9  Max: 10,8  AvgCalls: 1  Players: 4  
28 15:32:51 Avg: 1,0  Max: 9,3  AvgCalls: 1  Players: 4  
29 15:33:21 Avg: 0,9  Max: 26,9  AvgCalls: 1  Players: 4  
30 15:33:51 Avg: 1,4  Max: 17,4  AvgCalls: 1  Players: 3  
31 15:34:21 Avg: 1,0  Max: 21,3  AvgCalls: 1  Players: 4  
32 15:34:51 Avg: 1,4  Max: 47,3  AvgCalls: 1  Players: 4  
33 15:35:21 Avg: 6,5  Max: 71,1  AvgCalls: 1  Players: 3  
34 15:35:51 Avg: 4,6  Max: 147,1  AvgCalls: 1  Players: 4  
35 15:36:21 Avg: 3,7  Max: 48,1  AvgCalls: 1  Players: 4  
36 15:36:51 Avg: 3,4  Max: 62,0  AvgCalls: 1  Players: 4  
37 15:37:21 Avg: 5,6  Max: 52,8  AvgCalls: 1  Players: 4  
38 15:37:51 Avg: 2,9  Max: 48,9  AvgCalls: 1  Players: 3  
39 15:38:21 Avg: 2,7  Max: 56,8  AvgCalls: 1  Players: 3  
40 15:38:51 Avg: 1,8  Max: 49,2  AvgCalls: 1  Players: 3  
41 15:39:21 Avg: 2,0  Max: 46,9  AvgCalls: 1  Players: 3  
42 15:39:51 Avg: 1,2  Max: 9,4  AvgCalls: 1  Players: 3  
43 15:40:21 Avg: 0,6  Max: 4,3  AvgCalls: 1  Players: 3  
44 15:40:51 Avg: 1,6  Max: 50,3  AvgCalls: 1  Players: 3  
45 15:41:21 Avg: 1,8  Max: 46,6  AvgCalls: 1  Players: 4  
46 15:41:51 Avg: 0,8  Max: 8,5  AvgCalls: 1  Players: 4  
47 15:42:21 Avg: 2,1  Max: 48,4  AvgCalls: 1  Players: 5  
48 15:42:51 Avg: 5,0  Max: 56,5  AvgCalls: 1  Players: 4  
49 15:43:21 Avg: 2,8  Max: 63,8  AvgCalls: 1  Players: 4  
50 15:43:51 Avg: 1,2  Max: 49,0  AvgCalls: 1  Players: 4  
51 15:44:21 Avg: 1,0  Max: 8,6  AvgCalls: 1  Players: 4  
52 15:44:51 Avg: 1,0  Max: 11,4  AvgCalls: 1  Players: 4  
53 15:45:21 Avg: 5,6  Max: 60,7  AvgCalls: 1  Players: 5  
54 15:45:51 Avg: 3,4  Max: 66,4  AvgCalls: 1  Players: 5  
55 15:46:21 Avg: 3,8  Max: 52,9  AvgCalls: 1  Players: 6  
56 15:46:51 Avg: 1,8  Max: 44,0  AvgCalls: 1  Players: 5  
