1 19:45:28 Avg: 10,7  Max: 2712,1  AvgCalls: 1  Players: 1  
2 19:45:58 Avg: 2,6  Max: 210,8  AvgCalls: 1  Players: 2  
3 19:46:28 Avg: 2,3  Max: 369,6  AvgCalls: 1  Players: 2  
4 19:46:58 Avg: 1,7  Max: 190,5  AvgCalls: 1  Players: 2  
5 19:47:28 Avg: 2,0  Max: 336,9  AvgCalls: 1  Players: 2  
6 19:47:58 Avg: 1,5  Max: 5,3  AvgCalls: 1  Players: 2  
7 19:48:28 Avg: 1,5  Max: 9,0  AvgCalls: 1  Players: 2  
8 19:48:58 Avg: 1,3  Max: 4,2  AvgCalls: 1  Players: 2  
9 19:49:28 Avg: 1,7  Max: 205,9  AvgCalls: 1  Players: 2  
10 19:49:59 Avg: 1,4  Max: 53,2  AvgCalls: 1  Players: 2  
11 19:50:28 Avg: 1,4  Max: 12,2  AvgCalls: 1  Players: 2  
12 19:50:58 Avg: 1,4  Max: 35,5  AvgCalls: 1  Players: 2  
13 19:51:28 Avg: 1,4  Max: 4,8  AvgCalls: 1  Players: 2  
14 19:51:58 Avg: 1,3  Max: 5,5  AvgCalls: 1  Players: 2  
15 19:52:28 Avg: 1,3  Max: 4,1  AvgCalls: 1  Players: 2  
16 19:52:58 Avg: 3,7  Max: 111,3  AvgCalls: 1  Players: 2  
17 19:53:28 Avg: 6,2  Max: 54,4  AvgCalls: 1  Players: 2  
18 19:53:58 Avg: 9,5  Max: 117,9  AvgCalls: 1  Players: 2  
19 19:54:28 Avg: 4,7  Max: 23,4  AvgCalls: 1  Players: 2  
20 19:54:58 Avg: 3,6  Max: 35,1  AvgCalls: 1  Players: 2  
21 19:55:28 Avg: 3,6  Max: 9,3  AvgCalls: 1  Players: 2  
22 19:55:58 Avg: 4,0  Max: 107,5  AvgCalls: 1  Players: 2  
23 19:56:28 Avg: 4,9  Max: 63,2  AvgCalls: 1  Players: 2  
24 19:56:58 Avg: 23,3  Max: 94,1  AvgCalls: 1  Players: 2  
25 19:57:28 Avg: 15,3  Max: 65,8  AvgCalls: 1  Players: 1  
26 19:57:58 Avg: 12,3  Max: 53,6  AvgCalls: 1  Players: 1  
27 19:58:28 Avg: 8,9  Max: 43,6  AvgCalls: 1  Players: 1  
28 19:58:58 Avg: 6,2  Max: 21,1  AvgCalls: 1  Players: 1  
29 19:59:28 Avg: 2,4  Max: 10,0  AvgCalls: 1  Players: 1  
30 19:59:58 Avg: 1,2  Max: 30,4  AvgCalls: 1  Players: 1  
31 20:00:28 Avg: 1,1  Max: 3,9  AvgCalls: 1  Players: 1  
32 20:00:58 Avg: 1,1  Max: 3,2  AvgCalls: 1  Players: 1  
33 20:01:28 Avg: 1,1  Max: 2,9  AvgCalls: 1  Players: 1  
34 20:01:58 Avg: 1,0  Max: 1,6  AvgCalls: 1  Players: 1  
35 20:02:28 Avg: 1,1  Max: 2,0  AvgCalls: 1  Players: 1  
36 20:02:58 Avg: 1,0  Max: 3,4  AvgCalls: 1  Players: 1  
37 20:03:28 Avg: 1,0  Max: 1,6  AvgCalls: 1  Players: 1  
38 20:03:58 Avg: 1,0  Max: 3,0  AvgCalls: 1  Players: 1  
39 20:04:28 Avg: 1,0  Max: 2,0  AvgCalls: 1  Players: 1  
40 20:04:58 Avg: 1,1  Max: 28,1  AvgCalls: 1  Players: 1  
41 20:05:28 Avg: 1,0  Max: 3,1  AvgCalls: 1  Players: 1  
42 20:05:58 Avg: 1,0  Max: 3,6  AvgCalls: 1  Players: 1  
43 20:06:28 Avg: 1,0  Max: 3,2  AvgCalls: 1  Players: 1  
44 20:06:58 Avg: 1,0  Max: 2,9  AvgCalls: 1  Players: 1  
45 20:07:28 Avg: 1,0  Max: 3,1  AvgCalls: 1  Players: 1  
46 20:07:58 Avg: 1,0  Max: 3,7  AvgCalls: 1  Players: 1  
47 20:08:28 Avg: 1,0  Max: 3,4  AvgCalls: 1  Players: 1  
48 20:08:58 Avg: 1,0  Max: 3,3  AvgCalls: 1  Players: 1  
49 20:09:28 Avg: 1,0  Max: 1,5  AvgCalls: 1  Players: 1  
50 20:09:58 Avg: 1,0  Max: 17,8  AvgCalls: 1  Players: 1  
51 20:10:28 Avg: 1,0  Max: 2,9  AvgCalls: 1  Players: 1  
52 20:10:58 Avg: 1,0  Max: 2,7  AvgCalls: 1  Players: 1  
53 20:11:28 Avg: 1,0  Max: 1,9  AvgCalls: 1  Players: 1  
54 20:11:58 Avg: 1,0  Max: 1,6  AvgCalls: 1  Players: 1  
55 20:12:28 Avg: 1,0  Max: 2,8  AvgCalls: 1  Players: 1  
56 20:12:58 Avg: 1,0  Max: 2,9  AvgCalls: 1  Players: 1  
57 20:13:28 Avg: 1,0  Max: 2,7  AvgCalls: 1  Players: 1  
58 20:13:58 Avg: 1,0  Max: 1,6  AvgCalls: 1  Players: 1  
59 20:14:28 Avg: 1,0  Max: 1,7  AvgCalls: 1  Players: 1  
60 20:14:58 Avg: 1,0  Max: 15,0  AvgCalls: 1  Players: 1  
61 20:15:28 Avg: 1,0  Max: 1,7  AvgCalls: 1  Players: 1  
62 20:15:58 Avg: 0,9  Max: 1,7  AvgCalls: 1  Players: 1  
63 20:16:28 Avg: 1,0  Max: 2,0  AvgCalls: 1  Players: 1  
64 20:16:58 Avg: 0,9  Max: 1,5  AvgCalls: 1  Players: 1  
65 20:17:28 Avg: 1,0  Max: 2,6  AvgCalls: 1  Players: 1  
66 20:17:58 Avg: 1,0  Max: 1,6  AvgCalls: 1  Players: 1  
67 20:18:28 Avg: 1,0  Max: 1,7  AvgCalls: 1  Players: 1  
68 20:18:58 Avg: 1,0  Max: 2,0  AvgCalls: 1  Players: 1  
69 20:19:28 Avg: 1,0  Max: 1,5  AvgCalls: 1  Players: 1  
70 20:19:58 Avg: 1,0  Max: 27,5  AvgCalls: 1  Players: 1  
71 20:20:28 Avg: 1,0  Max: 1,6  AvgCalls: 1  Players: 1  
72 20:20:58 Avg: 0,9  Max: 1,6  AvgCalls: 1  Players: 1  
73 20:21:28 Avg: 0,9  Max: 1,4  AvgCalls: 1  Players: 1  
74 20:21:58 Avg: 0,9  Max: 1,6  AvgCalls: 1  Players: 1  
