1 13:50:52 Avg: 98,5  Max: 1068,8  AvgCalls: 1  Players: 0  
2 13:51:40 Avg: 81,2  Max: 603,0  AvgCalls: 1  Players: 0  
3 13:52:32 Avg: 86,5  Max: 708,9  AvgCalls: 1  Players: 0  
4 13:53:21 Avg: 80,4  Max: 554,2  AvgCalls: 1  Players: 1  
5 13:54:09 Avg: 81,2  Max: 536,0  AvgCalls: 1  Players: 2  
6 13:54:51 Avg: 69,7  Max: 589,6  AvgCalls: 1  Players: 2  
7 13:54:54 Avg: 3,9  Max: 66,3  AvgCalls: 1  Players: 2  
8 13:54:55 Avg: 2,8  Max: 52,7  AvgCalls: 1  Players: 2  
9 13:54:57 Avg: 3,3  Max: 64,4  AvgCalls: 1  Players: 2  
10 13:54:59 Avg: 2,3  Max: 199,7  AvgCalls: 1  Players: 2  
11 13:55:23 Avg: 3,5  Max: 54,5  AvgCalls: 1  Players: 2  
12 13:55:53 Avg: 2,7  Max: 112,5  AvgCalls: 1  Players: 2  
13 13:56:23 Avg: 2,5  Max: 30,5  AvgCalls: 1  Players: 2  
14 13:56:53 Avg: 2,7  Max: 23,2  AvgCalls: 1  Players: 2  
15 13:57:23 Avg: 2,4  Max: 10,8  AvgCalls: 1  Players: 2  
16 13:57:53 Avg: 2,5  Max: 28,3  AvgCalls: 1  Players: 2  
17 13:58:23 Avg: 2,1  Max: 11,9  AvgCalls: 1  Players: 2  
18 13:58:53 Avg: 1,8  Max: 10,2  AvgCalls: 1  Players: 1  
19 13:59:23 Avg: 1,8  Max: 13,2  AvgCalls: 1  Players: 1  
20 13:59:53 Avg: 1,7  Max: 30,6  AvgCalls: 1  Players: 1  
21 14:00:23 Avg: 1,5  Max: 8,2  AvgCalls: 1  Players: 1  
22 14:00:53 Avg: 1,5  Max: 6,0  AvgCalls: 1  Players: 1  
23 14:01:23 Avg: 1,5  Max: 5,2  AvgCalls: 1  Players: 1  
24 14:01:53 Avg: 1,5  Max: 8,7  AvgCalls: 1  Players: 1  
25 14:02:23 Avg: 1,6  Max: 31,1  AvgCalls: 1  Players: 1  
26 14:02:53 Avg: 1,5  Max: 7,9  AvgCalls: 1  Players: 1  
27 14:03:23 Avg: 1,5  Max: 6,4  AvgCalls: 1  Players: 1  
28 14:03:53 Avg: 1,6  Max: 33,2  AvgCalls: 1  Players: 1  
29 14:04:23 Avg: 1,6  Max: 17,8  AvgCalls: 1  Players: 1  
30 14:04:53 Avg: 1,6  Max: 13,7  AvgCalls: 1  Players: 1  
31 14:05:23 Avg: 1,6  Max: 11,6  AvgCalls: 1  Players: 1  
32 14:05:53 Avg: 1,6  Max: 31,1  AvgCalls: 1  Players: 1  
33 14:06:23 Avg: 1,7  Max: 13,5  AvgCalls: 1  Players: 1  
34 14:06:53 Avg: 1,4  Max: 7,1  AvgCalls: 1  Players: 1  
35 14:07:23 Avg: 1,4  Max: 6,1  AvgCalls: 1  Players: 1  
36 14:07:53 Avg: 1,6  Max: 9,7  AvgCalls: 1  Players: 1  
37 14:08:23 Avg: 1,6  Max: 6,4  AvgCalls: 1  Players: 1  
38 14:08:53 Avg: 1,6  Max: 7,8  AvgCalls: 1  Players: 1  
39 14:09:23 Avg: 1,5  Max: 7,4  AvgCalls: 1  Players: 1  
40 14:09:53 Avg: 1,7  Max: 16,7  AvgCalls: 1  Players: 1  
41 14:10:23 Avg: 1,6  Max: 13,7  AvgCalls: 1  Players: 1  
42 14:10:53 Avg: 1,5  Max: 12,1  AvgCalls: 1  Players: 1  
43 14:11:23 Avg: 2,1  Max: 40,0  AvgCalls: 1  Players: 1  
44 14:11:53 Avg: 2,1  Max: 22,0  AvgCalls: 1  Players: 2  
45 14:12:23 Avg: 1,6  Max: 13,8  AvgCalls: 1  Players: 2  
46 14:12:53 Avg: 1,6  Max: 7,3  AvgCalls: 1  Players: 2  
47 14:13:23 Avg: 1,6  Max: 9,2  AvgCalls: 1  Players: 2  
48 14:13:53 Avg: 1,6  Max: 10,4  AvgCalls: 1  Players: 2  
49 14:14:23 Avg: 1,7  Max: 6,9  AvgCalls: 1  Players: 2  
50 14:14:53 Avg: 2,2  Max: 32,6  AvgCalls: 1  Players: 2  
51 14:15:23 Avg: 2,2  Max: 35,1  AvgCalls: 1  Players: 2  
52 14:15:53 Avg: 2,1  Max: 11,8  AvgCalls: 1  Players: 2  
53 14:16:23 Avg: 2,0  Max: 8,1  AvgCalls: 1  Players: 2  
54 14:16:53 Avg: 1,8  Max: 10,2  AvgCalls: 1  Players: 1  
55 14:17:23 Avg: 1,5  Max: 8,0  AvgCalls: 1  Players: 1  
56 14:17:53 Avg: 0,8  Max: 7,8  AvgCalls: 1  Players: 0  
57 14:18:23 Avg: 0,5  Max: 3,4  AvgCalls: 1  Players: 0  
58 14:18:53 Avg: 0,5  Max: 5,1  AvgCalls: 1  Players: 0  
59 14:19:23 Avg: 0,5  Max: 7,4  AvgCalls: 1  Players: 0  
