77 14:00:13 Avg: 1,5  Max: 3,9  AvgCalls: 1  Players: 1  
78 14:00:43 Avg: 1,5  Max: 11,2  AvgCalls: 1  Players: 1  
79 14:01:13 Avg: 1,5  Max: 3,5  AvgCalls: 1  Players: 1  
80 14:01:43 Avg: 1,6  Max: 7,6  AvgCalls: 1  Players: 1  
81 14:02:13 Avg: 1,5  Max: 6,8  AvgCalls: 1  Players: 1  
82 14:02:43 Avg: 1,5  Max: 3,2  AvgCalls: 1  Players: 1  
83 14:03:13 Avg: 1,5  Max: 5,3  AvgCalls: 1  Players: 1  
84 14:03:43 Avg: 1,5  Max: 7,3  AvgCalls: 1  Players: 1  
85 14:04:13 Avg: 1,5  Max: 14,4  AvgCalls: 1  Players: 1  
86 14:04:43 Avg: 1,5  Max: 8,4  AvgCalls: 1  Players: 1  
87 14:05:13 Avg: 1,5  Max: 4,9  AvgCalls: 1  Players: 1  
88 14:05:43 Avg: 1,5  Max: 4,8  AvgCalls: 1  Players: 1  
89 14:06:13 Avg: 1,5  Max: 4,0  AvgCalls: 1  Players: 1  
90 14:06:43 Avg: 1,6  Max: 22,9  AvgCalls: 1  Players: 1  
91 14:07:13 Avg: 1,5  Max: 3,8  AvgCalls: 1  Players: 1  
92 14:07:43 Avg: 1,5  Max: 3,3  AvgCalls: 1  Players: 1  
93 14:08:13 Avg: 1,5  Max: 5,0  AvgCalls: 1  Players: 1  
94 14:08:43 Avg: 1,5  Max: 5,3  AvgCalls: 1  Players: 1  
95 14:09:13 Avg: 1,5  Max: 4,2  AvgCalls: 1  Players: 1  
96 14:09:43 Avg: 1,5  Max: 3,5  AvgCalls: 1  Players: 1  
97 14:10:13 Avg: 1,5  Max: 5,2  AvgCalls: 1  Players: 1  
98 14:10:43 Avg: 1,5  Max: 5,7  AvgCalls: 1  Players: 1  
99 14:11:13 Avg: 1,5  Max: 3,6  AvgCalls: 1  Players: 1  
100 14:11:43 Avg: 1,5  Max: 10,7  AvgCalls: 1  Players: 1  
