1 11:03:32 OverAll: 1,4  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
2 11:04:02 OverAll: 1,8  DoTick: 0,5  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
3 11:04:32 OverAll: 0,9  DoTick: 0,2  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
4 11:05:21 OverAll: 0,7  DoTick: 0,1  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 11:06:07 OverAll: 0,5  DoTick: 0,4  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
6 11:06:54 OverAll: 0,5  DoTick: 0,4  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
7 11:07:40 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 11:08:26 OverAll: 0,5  DoTick: 0,4  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 11:09:09 OverAll: 0,5  DoTick: 0,4  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 11:09:10 OverAll: 0,4  DoTick: 0,3  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 11:09:11 OverAll: 0,8  DoTick: 0,6  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
12 11:09:12 OverAll: 1,0  DoTick: 0,6  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
13 11:09:32 OverAll: 0,2  DoTick: 0,1  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
