1 18:32:10 Avg: 4,7  Max: 1011,5  AvgCalls: 1  Players: 1  
2 18:32:40 Avg: 1,2  Max: 16,6  AvgCalls: 1  Players: 2  
3 18:33:10 Avg: 1,3  Max: 42,5  AvgCalls: 1  Players: 2  
4 18:33:40 Avg: 1,3  Max: 34,6  AvgCalls: 1  Players: 2  
5 18:34:10 Avg: 2,1  Max: 601,7  AvgCalls: 1  Players: 2  
6 18:34:40 Avg: 0,9  Max: 15,8  AvgCalls: 1  Players: 2  
7 18:35:10 Avg: 0,8  Max: 5,6  AvgCalls: 1  Players: 2  
8 18:35:40 Avg: 0,7  Max: 12,4  AvgCalls: 1  Players: 2  
9 18:36:10 Avg: 0,7  Max: 14,7  AvgCalls: 1  Players: 2  
10 18:36:40 Avg: 0,8  Max: 41,8  AvgCalls: 1  Players: 1  
11 18:37:10 Avg: 0,7  Max: 6,0  AvgCalls: 1  Players: 2  
12 18:37:40 Avg: 0,7  Max: 7,7  AvgCalls: 1  Players: 2  
13 18:38:10 Avg: 0,7  Max: 7,7  AvgCalls: 1  Players: 2  
14 18:38:40 Avg: 0,8  Max: 7,0  AvgCalls: 1  Players: 2  
15 18:39:10 Avg: 0,8  Max: 6,0  AvgCalls: 1  Players: 2  
16 18:39:40 Avg: 0,7  Max: 3,7  AvgCalls: 1  Players: 2  
17 18:40:10 Avg: 0,7  Max: 6,0  AvgCalls: 1  Players: 2  
18 18:40:40 Avg: 0,7  Max: 6,4  AvgCalls: 1  Players: 2  
19 18:41:10 Avg: 0,8  Max: 9,5  AvgCalls: 1  Players: 2  
20 18:41:40 Avg: 0,7  Max: 19,3  AvgCalls: 1  Players: 2  
21 18:42:10 Avg: 0,7  Max: 14,0  AvgCalls: 1  Players: 2  
22 18:42:40 Avg: 0,7  Max: 6,7  AvgCalls: 1  Players: 2  
23 18:43:10 Avg: 0,7  Max: 7,5  AvgCalls: 1  Players: 2  
24 18:43:40 Avg: 0,6  Max: 3,8  AvgCalls: 1  Players: 2  
25 18:44:10 Avg: 0,7  Max: 6,2  AvgCalls: 1  Players: 2  
26 18:44:40 Avg: 0,7  Max: 4,2  AvgCalls: 1  Players: 2  
27 18:45:10 Avg: 0,6  Max: 3,2  AvgCalls: 1  Players: 2  
28 18:45:40 Avg: 0,6  Max: 5,8  AvgCalls: 1  Players: 2  
29 18:46:10 Avg: 0,7  Max: 5,8  AvgCalls: 1  Players: 2  
30 18:46:40 Avg: 0,7  Max: 13,8  AvgCalls: 1  Players: 2  
31 18:47:10 Avg: 0,7  Max: 5,9  AvgCalls: 1  Players: 2  
32 18:47:40 Avg: 0,7  Max: 9,1  AvgCalls: 1  Players: 2  
