1 01:00:02 Avg: 1,7  Max: 72,2  AvgCalls: 1  Players: 0  
2 01:00:32 Avg: 0,7  Max: 4,2  AvgCalls: 1  Players: 1  
3 01:01:02 Avg: 0,6  Max: 12,2  AvgCalls: 1  Players: 0  
4 01:01:32 Avg: 0,4  Max: 2,1  AvgCalls: 1  Players: 0  
5 01:02:02 Avg: 0,3  Max: 2,0  AvgCalls: 1  Players: 0  
6 01:02:32 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
7 01:03:02 Avg: 0,3  Max: 0,7  AvgCalls: 1  Players: 0  
8 01:03:32 Avg: 0,3  Max: 1,5  AvgCalls: 1  Players: 0  
9 01:04:02 Avg: 0,3  Max: 1,0  AvgCalls: 1  Players: 0  
10 01:04:32 Avg: 0,3  Max: 9,8  AvgCalls: 1  Players: 0  
11 01:05:02 Avg: 0,3  Max: 7,2  AvgCalls: 1  Players: 0  
12 01:05:32 Avg: 0,3  Max: 3,7  AvgCalls: 1  Players: 0  
13 01:06:02 Avg: 0,3  Max: 7,8  AvgCalls: 1  Players: 0  
14 01:06:32 Avg: 0,3  Max: 3,8  AvgCalls: 1  Players: 0  
15 01:07:02 Avg: 0,3  Max: 2,0  AvgCalls: 1  Players: 0  
16 01:07:32 Avg: 0,3  Max: 3,9  AvgCalls: 1  Players: 0  
17 01:08:02 Avg: 0,3  Max: 5,2  AvgCalls: 1  Players: 0  
18 01:08:32 Avg: 0,3  Max: 1,9  AvgCalls: 1  Players: 0  
19 01:09:02 Avg: 0,3  Max: 5,8  AvgCalls: 1  Players: 0  
20 01:09:32 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
21 01:10:02 Avg: 0,3  Max: 1,4  AvgCalls: 1  Players: 0  
22 01:10:32 Avg: 0,3  Max: 2,6  AvgCalls: 1  Players: 0  
23 01:11:02 Avg: 0,3  Max: 2,8  AvgCalls: 1  Players: 0  
24 01:11:32 Avg: 0,4  Max: 7,8  AvgCalls: 1  Players: 0  
25 01:12:02 Avg: 0,3  Max: 3,7  AvgCalls: 1  Players: 0  
26 01:12:32 Avg: 0,3  Max: 1,5  AvgCalls: 1  Players: 0  
27 01:13:02 Avg: 0,3  Max: 0,6  AvgCalls: 1  Players: 0  
28 01:13:32 Avg: 0,3  Max: 1,5  AvgCalls: 1  Players: 0  
29 01:14:02 Avg: 0,3  Max: 2,1  AvgCalls: 1  Players: 0  
30 01:14:32 Avg: 0,3  Max: 3,5  AvgCalls: 1  Players: 0  
31 01:15:02 Avg: 0,3  Max: 0,9  AvgCalls: 1  Players: 0  
32 01:15:32 Avg: 0,3  Max: 1,6  AvgCalls: 1  Players: 0  
33 01:16:02 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
34 01:16:32 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
35 01:17:02 Avg: 0,3  Max: 1,2  AvgCalls: 1  Players: 0  
36 01:17:32 Avg: 0,3  Max: 1,6  AvgCalls: 1  Players: 0  
37 01:18:02 Avg: 0,3  Max: 4,1  AvgCalls: 1  Players: 0  
38 01:18:32 Avg: 0,3  Max: 1,5  AvgCalls: 1  Players: 0  
39 01:19:02 Avg: 0,3  Max: 1,8  AvgCalls: 1  Players: 0  
40 01:19:32 Avg: 0,3  Max: 3,8  AvgCalls: 1  Players: 0  
41 01:20:02 Avg: 0,3  Max: 1,6  AvgCalls: 1  Players: 0  
42 01:20:32 Avg: 0,3  Max: 1,5  AvgCalls: 1  Players: 0  
43 01:21:02 Avg: 0,3  Max: 1,6  AvgCalls: 1  Players: 0  
44 01:21:32 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
45 01:22:02 Avg: 1,2  Max: 506,3  AvgCalls: 1  Players: 0  
46 01:22:32 Avg: 0,3  Max: 1,5  AvgCalls: 1  Players: 0  
47 01:23:02 Avg: 0,3  Max: 3,3  AvgCalls: 1  Players: 0  
48 01:23:32 Avg: 0,3  Max: 3,8  AvgCalls: 1  Players: 0  
49 01:24:02 Avg: 0,3  Max: 0,6  AvgCalls: 1  Players: 0  
50 01:24:32 Avg: 0,3  Max: 3,8  AvgCalls: 1  Players: 0  
51 01:25:02 Avg: 0,3  Max: 1,3  AvgCalls: 1  Players: 0  
52 01:25:32 Avg: 0,3  Max: 1,3  AvgCalls: 1  Players: 0  
53 01:26:02 Avg: 0,3  Max: 0,6  AvgCalls: 1  Players: 0  
54 01:26:32 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
55 01:27:02 Avg: 0,3  Max: 1,7  AvgCalls: 1  Players: 0  
56 01:27:32 Avg: 0,3  Max: 2,5  AvgCalls: 1  Players: 0  
57 01:28:02 Avg: 0,3  Max: 4,0  AvgCalls: 1  Players: 0  
58 01:28:32 Avg: 0,3  Max: 3,6  AvgCalls: 1  Players: 0  
59 01:29:02 Avg: 0,3  Max: 1,2  AvgCalls: 1  Players: 0  
60 01:29:32 Avg: 0,3  Max: 6,2  AvgCalls: 1  Players: 0  
