1 17:19:13 Avg: 3,1  Max: 213,0  AvgCalls: 1  Players: 0  
2 17:19:43 Avg: 1,5  Max: 46,1  AvgCalls: 1  Players: 1  
3 17:20:13 Avg: 1,1  Max: 45,5  AvgCalls: 1  Players: 1  
4 17:20:43 Avg: 1,0  Max: 45,0  AvgCalls: 1  Players: 1  
5 17:21:13 Avg: 1,2  Max: 17,9  AvgCalls: 1  Players: 1  
6 17:21:43 Avg: 1,7  Max: 52,0  AvgCalls: 1  Players: 1  
7 17:22:13 Avg: 0,6  Max: 3,2  AvgCalls: 1  Players: 1  
8 17:22:43 Avg: 0,7  Max: 5,8  AvgCalls: 1  Players: 1  
9 17:23:13 Avg: 0,6  Max: 3,6  AvgCalls: 1  Players: 1  
10 17:23:43 Avg: 0,7  Max: 39,9  AvgCalls: 1  Players: 1  
11 17:24:13 Avg: 0,7  Max: 14,0  AvgCalls: 1  Players: 1  
12 17:24:43 Avg: 1,6  Max: 522,8  AvgCalls: 1  Players: 1  
13 17:25:13 Avg: 0,7  Max: 7,9  AvgCalls: 1  Players: 1  
14 17:25:43 Avg: 0,6  Max: 7,8  AvgCalls: 1  Players: 1  
15 17:26:13 Avg: 0,6  Max: 8,6  AvgCalls: 1  Players: 1  
16 17:26:43 Avg: 0,5  Max: 2,2  AvgCalls: 1  Players: 1  
17 17:27:13 Avg: 0,6  Max: 8,0  AvgCalls: 1  Players: 1  
18 17:27:43 Avg: 0,6  Max: 11,3  AvgCalls: 1  Players: 1  
19 17:28:13 Avg: 0,5  Max: 6,0  AvgCalls: 1  Players: 1  
20 17:28:43 Avg: 0,6  Max: 14,0  AvgCalls: 1  Players: 1  
21 17:29:13 Avg: 0,6  Max: 16,6  AvgCalls: 1  Players: 1  
22 17:29:43 Avg: 1,4  Max: 45,0  AvgCalls: 1  Players: 1  
23 17:30:13 Avg: 2,5  Max: 58,5  AvgCalls: 1  Players: 1  
24 17:30:43 Avg: 1,2  Max: 48,0  AvgCalls: 1  Players: 1  
25 17:31:13 Avg: 1,9  Max: 46,2  AvgCalls: 1  Players: 1  
26 17:31:43 Avg: 0,9  Max: 45,9  AvgCalls: 1  Players: 1  
27 17:32:13 Avg: 1,3  Max: 48,0  AvgCalls: 1  Players: 1  
28 17:32:43 Avg: 0,8  Max: 44,9  AvgCalls: 1  Players: 1  
29 17:33:13 Avg: 2,9  Max: 46,8  AvgCalls: 1  Players: 2  
30 17:33:43 Avg: 3,4  Max: 48,0  AvgCalls: 1  Players: 1  
31 17:34:13 Avg: 1,6  Max: 47,8  AvgCalls: 1  Players: 1  
32 17:34:43 Avg: 1,0  Max: 45,1  AvgCalls: 1  Players: 1  
33 17:35:13 Avg: 0,9  Max: 23,1  AvgCalls: 1  Players: 1  
34 17:35:43 Avg: 0,7  Max: 6,6  AvgCalls: 1  Players: 1  
35 17:36:13 Avg: 1,0  Max: 46,9  AvgCalls: 1  Players: 1  
36 17:36:43 Avg: 0,9  Max: 45,0  AvgCalls: 1  Players: 1  
37 17:37:13 Avg: 0,7  Max: 14,0  AvgCalls: 1  Players: 1  
38 17:37:43 Avg: 0,6  Max: 6,6  AvgCalls: 1  Players: 1  
39 17:38:13 Avg: 0,9  Max: 46,1  AvgCalls: 1  Players: 1  
40 17:38:43 Avg: 0,6  Max: 19,9  AvgCalls: 1  Players: 1  
41 17:39:13 Avg: 0,6  Max: 5,2  AvgCalls: 1  Players: 1  
42 17:39:43 Avg: 2,6  Max: 48,8  AvgCalls: 1  Players: 1  
43 17:40:13 Avg: 2,9  Max: 51,9  AvgCalls: 1  Players: 1  
44 17:40:43 Avg: 2,3  Max: 58,3  AvgCalls: 1  Players: 1  
45 17:41:13 Avg: 2,8  Max: 60,8  AvgCalls: 1  Players: 1  
46 17:41:43 Avg: 1,4  Max: 48,1  AvgCalls: 1  Players: 1  
47 17:42:13 Avg: 2,4  Max: 56,0  AvgCalls: 1  Players: 1  
