1 16:15:20 OverAll: 2,0  DoTick: 0,2  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 1,2  Chunk: 0,0  Players: 0  
2 16:15:50 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
3 16:16:20 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
4 16:16:50 OverAll: 0,2  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
5 16:17:20 OverAll: 0,2  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
6 16:17:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
7 16:18:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
8 16:18:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
9 16:19:20 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
10 16:19:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
11 16:20:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
12 16:20:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
13 16:21:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
14 16:21:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
15 16:22:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
16 16:22:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
17 16:23:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
18 16:23:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
19 16:24:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
20 16:24:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
21 16:25:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
22 16:25:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
23 16:26:20 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
24 16:26:50 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
