1 23:27:08 Avg: 4,7  Max: 157,9  AvgCalls: 1  Players: 0  
2 23:27:38 Avg: 1,7  Max: 7,4  AvgCalls: 1  Players: 1  
3 23:28:08 Avg: 9,2  Max: 3852,1  AvgCalls: 1  Players: 1  
4 23:28:38 Avg: 3,7  Max: 216,1  AvgCalls: 1  Players: 1  
5 23:29:08 Avg: 1,4  Max: 4,2  AvgCalls: 1  Players: 1  
6 23:29:38 Avg: 1,2  Max: 112,4  AvgCalls: 1  Players: 0  
7 23:30:08 Avg: 0,7  Max: 2,7  AvgCalls: 1  Players: 0  
8 23:30:38 Avg: 0,6  Max: 1,6  AvgCalls: 1  Players: 0  
9 23:31:08 Avg: 0,6  Max: 1,7  AvgCalls: 1  Players: 0  
10 23:31:38 Avg: 0,7  Max: 45,6  AvgCalls: 1  Players: 0  
11 23:32:08 Avg: 0,6  Max: 3,2  AvgCalls: 1  Players: 0  
12 23:32:38 Avg: 0,6  Max: 1,5  AvgCalls: 1  Players: 0  
13 23:33:08 Avg: 0,5  Max: 1,1  AvgCalls: 1  Players: 0  
14 23:33:38 Avg: 0,5  Max: 1,1  AvgCalls: 1  Players: 0  
15 23:34:08 Avg: 0,5  Max: 2,5  AvgCalls: 1  Players: 0  
16 23:34:38 Avg: 0,5  Max: 1,0  AvgCalls: 1  Players: 0  
17 23:35:08 Avg: 0,5  Max: 1,2  AvgCalls: 1  Players: 0  
18 23:35:38 Avg: 0,5  Max: 1,6  AvgCalls: 1  Players: 0  
19 23:36:08 Avg: 0,5  Max: 1,2  AvgCalls: 1  Players: 0  
20 23:36:38 Avg: 0,5  Max: 15,7  AvgCalls: 1  Players: 0  
21 23:37:08 Avg: 0,5  Max: 1,7  AvgCalls: 1  Players: 0  
22 23:37:38 Avg: 0,5  Max: 1,2  AvgCalls: 1  Players: 0  
23 23:38:08 Avg: 0,6  Max: 1,4  AvgCalls: 1  Players: 0  
24 23:38:38 Avg: 0,5  Max: 1,3  AvgCalls: 1  Players: 0  
25 23:39:08 Avg: 0,6  Max: 1,3  AvgCalls: 1  Players: 0  
26 23:39:38 Avg: 0,6  Max: 1,4  AvgCalls: 1  Players: 0  
27 23:40:08 Avg: 0,6  Max: 3,7  AvgCalls: 1  Players: 0  
28 23:40:38 Avg: 0,6  Max: 1,3  AvgCalls: 1  Players: 0  
29 23:41:08 Avg: 0,6  Max: 1,5  AvgCalls: 1  Players: 0  
30 23:41:38 Avg: 0,6  Max: 15,8  AvgCalls: 1  Players: 0  
31 23:42:08 Avg: 0,6  Max: 1,8  AvgCalls: 1  Players: 0  
32 23:42:38 Avg: 0,6  Max: 3,2  AvgCalls: 1  Players: 0  
33 23:43:08 Avg: 0,6  Max: 1,3  AvgCalls: 1  Players: 0  
34 23:43:38 Avg: 0,6  Max: 1,0  AvgCalls: 1  Players: 0  
35 23:44:08 Avg: 0,6  Max: 1,5  AvgCalls: 1  Players: 0  
36 23:44:38 Avg: 0,6  Max: 1,6  AvgCalls: 1  Players: 0  
37 23:45:08 Avg: 0,6  Max: 2,6  AvgCalls: 1  Players: 0  
38 23:45:38 Avg: 0,6  Max: 1,4  AvgCalls: 1  Players: 0  
39 23:46:08 Avg: 0,6  Max: 1,1  AvgCalls: 1  Players: 0  
40 23:46:38 Avg: 0,6  Max: 16,4  AvgCalls: 1  Players: 0  
41 23:47:08 Avg: 0,6  Max: 5,5  AvgCalls: 1  Players: 0  
42 23:47:38 Avg: 0,5  Max: 1,3  AvgCalls: 1  Players: 0  
43 23:48:08 Avg: 0,6  Max: 3,0  AvgCalls: 1  Players: 0  
44 23:48:38 Avg: 0,5  Max: 1,4  AvgCalls: 1  Players: 0  
45 23:49:08 Avg: 0,5  Max: 1,3  AvgCalls: 1  Players: 0  
46 23:49:38 Avg: 0,5  Max: 1,3  AvgCalls: 1  Players: 0  
47 23:50:08 Avg: 0,5  Max: 1,0  AvgCalls: 1  Players: 0  
48 23:50:38 Avg: 0,5  Max: 0,8  AvgCalls: 1  Players: 0  
49 23:51:08 Avg: 0,5  Max: 1,4  AvgCalls: 1  Players: 0  
50 23:51:38 Avg: 1,1  Max: 33,2  AvgCalls: 1  Players: 0  
51 23:52:08 Avg: 2,0  Max: 223,7  AvgCalls: 1  Players: 1  
52 23:52:38 Avg: 1,9  Max: 49,3  AvgCalls: 1  Players: 1  
53 23:53:08 Avg: 1,1  Max: 2,9  AvgCalls: 1  Players: 1  
54 23:53:38 Avg: 1,1  Max: 2,7  AvgCalls: 1  Players: 1  
55 23:54:08 Avg: 1,8  Max: 47,4  AvgCalls: 1  Players: 1  
56 23:54:38 Avg: 1,9  Max: 42,8  AvgCalls: 1  Players: 1  
57 23:55:08 Avg: 1,9  Max: 47,2  AvgCalls: 1  Players: 1  
58 23:55:38 Avg: 2,0  Max: 6,4  AvgCalls: 1  Players: 1  
59 23:56:08 Avg: 1,7  Max: 6,8  AvgCalls: 1  Players: 1  
60 23:56:38 Avg: 1,7  Max: 21,3  AvgCalls: 1  Players: 1  
61 23:57:08 Avg: 1,8  Max: 8,7  AvgCalls: 1  Players: 1  
62 23:57:38 Avg: 1,7  Max: 5,1  AvgCalls: 1  Players: 1  
63 23:58:08 Avg: 1,6  Max: 3,4  AvgCalls: 1  Players: 1  
64 23:58:38 Avg: 1,6  Max: 5,6  AvgCalls: 1  Players: 1  
65 23:59:08 Avg: 1,5  Max: 3,0  AvgCalls: 1  Players: 1  
66 23:59:38 Avg: 1,5  Max: 3,1  AvgCalls: 1  Players: 1  
67 00:00:08 Avg: 1,5  Max: 3,3  AvgCalls: 1  Players: 1  
68 00:00:38 Avg: 1,5  Max: 3,3  AvgCalls: 1  Players: 1  
69 00:01:08 Avg: 1,6  Max: 4,0  AvgCalls: 1  Players: 1  
70 00:01:38 Avg: 1,6  Max: 19,5  AvgCalls: 1  Players: 1  
71 00:02:08 Avg: 1,7  Max: 3,9  AvgCalls: 1  Players: 1  
72 00:02:38 Avg: 1,7  Max: 5,1  AvgCalls: 1  Players: 1  
73 00:03:08 Avg: 1,7  Max: 6,5  AvgCalls: 1  Players: 0  
74 00:03:38 Avg: 0,5  Max: 1,4  AvgCalls: 1  Players: 0  
75 00:04:08 Avg: 0,5  Max: 1,5  AvgCalls: 1  Players: 0  
76 00:04:38 Avg: 0,5  Max: 1,6  AvgCalls: 1  Players: 0  
77 00:05:08 Avg: 0,5  Max: 1,3  AvgCalls: 1  Players: 0  
78 00:05:38 Avg: 0,5  Max: 1,6  AvgCalls: 1  Players: 0  
